image,min_temp,max_temp,center_temp,point_temp,units
IMG_0114.bmp,20.7,26.0,22.7,22.87007874015748,C
IMG_0115.bmp,19.8,29.0,20.7,22.262992125984255,C
IMG_0116.bmp,19.9,29.1,20.7,22.254330708661417,C
IMG_0117.bmp,19.9,30.6,21.0,22.933070866141733,C
IMG_0118.bmp,19.8,29.5,21.0,22.74055118110236,C
IMG_0119.bmp,19.8,31.5,21.0,23.531102362204724,C
IMG_0120.bmp,19.8,30.5,21.4,23.296456692913385,C
IMG_0121.bmp,19.7,29.7,21.4,23.28267716535433,C
IMG_0122.bmp,19.8,29.3,21.2,23.390551181102364,C
IMG_0123.bmp,19.7,28.8,21.3,23.103543307086614,C
IMG_0124.bmp,19.8,29.4,21.0,23.806299212598425,C
IMG_0125.bmp,19.7,29.4,20.9,23.86259842519685,C
IMG_0126.bmp,19.7,29.0,21.1,23.544488188976377,C
IMG_0127.bmp,19.8,29.4,21.2,23.91968503937008,C
IMG_0128.bmp,19.7,29.2,21.2,23.888976377952755,C
IMG_0129.bmp,19.9,30.0,21.5,24.631889763779526,C
IMG_0130.bmp,19.7,29.2,21.2,24.038582677165355,C
IMG_0131.bmp,19.8,29.0,21.0,24.327559055118112,C
IMG_0132.bmp,19.7,29.9,20.7,24.518897637795273,C
IMG_0133.bmp,19.7,28.9,21.0,24.372440944881888,C
IMG_0134.bmp,19.7,28.8,21.0,24.536614173228347,C
IMG_0135.bmp,20.8,23.4,22.2,21.89527559055118,C
IMG_0136.bmp,19.7,28.3,20.7,22.137795275590552,C
IMG_0137.bmp,19.7,29.8,20.8,22.443700787401575,C
IMG_0138.bmp,19.7,29.0,20.9,22.26299212598425,C
IMG_0139.bmp,19.7,29.3,20.9,22.64803149606299,C
IMG_0140.bmp,19.7,29.7,21.4,22.33779527559055,C
IMG_0141.bmp,19.7,29.9,20.9,22.39055118110236,C
IMG_0142.bmp,19.8,30.8,21.5,23.221259842519686,C
IMG_0143.bmp,19.7,30.9,21.9,23.35984251968504,C
IMG_0144.bmp,19.8,30.6,21.1,23.286614173228347,C
IMG_0145.bmp,19.7,31.1,21.2,23.38031496062992,C
IMG_0146.bmp,19.9,29.8,21.2,22.862204724409448,C
IMG_0147.bmp,19.9,29.7,21.4,23.140944881889762,C
IMG_0148.bmp,19.7,30.2,21.5,23.296456692913385,C
IMG_0149.bmp,19.9,30.1,21.7,23.273228346456694,C
IMG_0150.bmp,19.9,29.6,21.4,23.146062992125984,C
IMG_0151.bmp,19.9,30.0,21.5,23.279921259842517,C
IMG_0152.bmp,20.0,30.5,21.9,23.679133858267715,C
IMG_0153.bmp,19.7,30.5,21.5,23.484251968503937,C
IMG_0154.bmp,19.9,30.5,21.6,23.447244094488187,C
IMG_0155.bmp,19.9,30.4,21.5,23.99251968503937,C
IMG_0156.bmp,19.9,30.5,21.5,23.82283464566929,C
IMG_0157.bmp,19.7,30.6,21.5,23.905511811023622,C
IMG_0158.bmp,21.2,24.4,22.9,22.51023622047244,C
IMG_0159.bmp,19.9,29.2,21.2,22.279921259842517,C
IMG_0160.bmp,19.9,29.0,21.2,22.694488188976376,C
IMG_0161.bmp,20.1,28.8,21.2,22.531889763779528,C
IMG_0162.bmp,19.9,28.7,21.1,22.429133858267715,C
IMG_0163.bmp,19.9,29.0,21.2,22.801968503937008,C
IMG_0164.bmp,19.9,28.9,21.2,22.947244094488187,C
IMG_0165.bmp,19.9,28.4,21.2,22.77795275590551,C
IMG_0166.bmp,19.9,28.6,21.3,22.50314960629921,C
IMG_0167.bmp,19.8,28.5,21.1,22.574409448818898,C
IMG_0168.bmp,19.9,28.3,21.2,22.545669291338584,C
IMG_0169.bmp,19.9,28.7,21.3,22.602362204724407,C
IMG_0170.bmp,19.9,30.2,21.5,22.941338582677165,C
IMG_0171.bmp,19.9,29.0,21.3,22.694488188976376,C
IMG_0172.bmp,20.0,27.3,21.5,22.44291338582677,C
IMG_0173.bmp,20.0,28.7,21.5,22.911417322834644,C
IMG_0174.bmp,19.9,28.4,21.5,22.51023622047244,C
IMG_0175.bmp,19.9,28.6,21.7,22.605905511811024,C
IMG_0176.bmp,19.9,28.4,21.6,22.644094488188976,C
IMG_0177.bmp,19.9,28.2,21.3,22.579527559055116,C
IMG_0178.bmp,19.9,28.2,21.5,22.514173228346454,C
IMG_0179.bmp,19.9,28.2,21.4,22.416141732283464,C
IMG_0224.bmp,21.7,25.8,23.4,23.378740157480316,C
IMG_0225.bmp,21.5,28.8,22.8,24.05787401574803,C
IMG_0226.bmp,21.1,30.8,22.7,24.346062992125987,C
IMG_0227.bmp,21.0,28.7,22.7,23.667716535433073,C
IMG_0228.bmp,20.8,28.6,22.6,23.471653543307088,C
IMG_0229.bmp,20.9,30.5,22.7,24.566141732283462,C
IMG_0230.bmp,20.9,29.9,22.7,24.337007874015747,C
IMG_0231.bmp,20.6,29.5,22.6,24.068897637795278,C
IMG_0232.bmp,20.5,29.8,22.6,24.198031496062992,C
IMG_0233.bmp,20.6,30.7,22.7,24.616141732283467,C
IMG_0234.bmp,20.6,31.2,22.7,24.898425196850393,C
IMG_0235.bmp,20.5,31.2,22.6,25.00748031496063,C
IMG_0236.bmp,20.8,31.4,22.8,25.26535433070866,C
IMG_0237.bmp,20.5,31.6,22.9,25.350787401574806,C
IMG_0238.bmp,20.5,31.5,22.8,25.480314960629922,C
IMG_0239.bmp,20.4,31.2,22.7,25.247244094488188,C
IMG_0240.bmp,20.5,31.6,22.8,25.39448818897638,C
IMG_0241.bmp,20.4,31.7,22.7,25.649606299212596,C
IMG_0242.bmp,20.4,31.9,22.7,25.74251968503937,C
IMG_0243.bmp,20.6,31.9,22.7,25.76062992125984,C
IMG_0244.bmp,20.5,31.4,22.9,25.43503937007874,C
IMG_0245.bmp,20.5,31.6,22.9,25.831496062992127,C
IMG_0246.bmp,21.5,25.4,23.1,23.219685039370077,C
IMG_0247.bmp,20.2,29.2,21.5,23.28267716535433,C
IMG_0248.bmp,20.4,29.9,21.7,23.279921259842517,C
IMG_0249.bmp,20.4,30.8,21.6,23.716535433070867,C
IMG_0250.bmp,20.4,30.7,21.7,23.7251968503937,C
IMG_0251.bmp,20.5,31.7,21.7,24.15984251968504,C
IMG_0252.bmp,20.4,30.0,21.9,23.763779527559056,C
IMG_0253.bmp,20.4,30.1,22.0,23.8751968503937,C
IMG_0254.bmp,20.2,31.0,22.0,23.729133858267716,C
IMG_0255.bmp,20.4,30.9,22.1,23.95511811023622,C
IMG_0256.bmp,20.4,30.8,22.0,23.88031496062992,C
IMG_0257.bmp,20.1,31.1,22.0,23.95433070866142,C
IMG_0258.bmp,20.2,31.1,22.2,23.80472440944882,C
IMG_0259.bmp,20.4,30.5,22.1,23.66062992125984,C
IMG_0260.bmp,20.4,30.5,22.1,24.058267716535433,C
IMG_0261.bmp,20.2,30.4,22.0,23.93464566929134,C
IMG_0262.bmp,20.2,30.9,22.2,24.286220472440945,C
IMG_0263.bmp,20.2,31.1,22.0,24.448425196850394,C
IMG_0264.bmp,20.1,30.9,22.0,24.26692913385827,C
IMG_0265.bmp,19.9,30.3,22.0,24.362992125984253,C
IMG_0266.bmp,20.2,31.2,22.1,24.66062992125984,C
IMG_0267.bmp,20.2,31.0,21.7,24.62204724409449,C
IMG_0268.bmp,21.4,25.4,23.0,23.132283464566928,C
IMG_0269.bmp,20.0,26.0,21.4,22.1496062992126,C
IMG_0270.bmp,20.0,28.0,21.5,22.488188976377952,C
IMG_0271.bmp,20.1,30.4,21.5,23.344094488188976,C
IMG_0272.bmp,20.0,29.9,21.5,23.11811023622047,C
IMG_0273.bmp,20.1,28.4,21.4,22.812204724409447,C
IMG_0274.bmp,20.0,30.0,21.4,23.30708661417323,C
IMG_0275.bmp,20.0,28.9,21.5,23.013385826771653,C
IMG_0276.bmp,19.9,28.1,21.5,22.644094488188976,C
IMG_0277.bmp,20.2,28.7,21.5,22.91062992125984,C
IMG_0278.bmp,19.9,28.2,21.5,22.612204724409448,C
IMG_0279.bmp,20.0,30.1,21.4,23.022047244094487,C
IMG_0280.bmp,20.0,27.8,21.3,22.640944881889766,C
IMG_0281.bmp,20.1,30.3,21.5,23.79448818897638,C
IMG_0282.bmp,19.9,28.9,21.5,22.911811023622047,C
IMG_0283.bmp,19.9,29.7,21.4,23.179527559055117,C
IMG_0284.bmp,19.9,29.0,21.4,22.94527559055118,C
IMG_0285.bmp,20.0,30.0,21.6,23.661417322834644,C
IMG_0286.bmp,20.1,29.7,21.5,23.161417322834644,C
IMG_0287.bmp,19.9,30.8,21.5,23.590551181102363,C
IMG_0288.bmp,19.9,30.7,21.5,23.684251968503936,C
IMG_0289.bmp,19.9,29.5,21.4,23.11259842519685,C
IMG_0290.bmp,20.8,23.5,22.0,21.916141732283464,C
IMG_0291.bmp,20.9,27.5,21.3,22.485039370078738,C
IMG_0292.bmp,19.9,28.9,21.7,22.59291338582677,C
IMG_0293.bmp,20.5,28.5,21.5,23.397637795275593,C
IMG_0294.bmp,20.5,28.9,21.9,23.774015748031495,C
IMG_0295.bmp,20.2,29.7,21.9,24.276771653543307,C
IMG_0296.bmp,19.8,29.2,21.9,23.426771653543305,C
IMG_0297.bmp,20.5,27.6,21.9,23.602755905511813,C
IMG_0298.bmp,19.7,28.7,22.0,24.022834645669292,C
IMG_0299.bmp,19.7,27.2,22.0,23.331889763779525,C
IMG_0300.bmp,19.9,28.3,21.9,24.26535433070866,C
IMG_0301.bmp,20.0,28.9,22.2,24.69527559055118,C
IMG_0302.bmp,19.9,29.1,22.0,24.536220472440945,C
IMG_0303.bmp,19.9,29.5,22.0,25.64488188976378,C
IMG_0304.bmp,19.9,30.4,22.1,25.811417322834643,C
IMG_0305.bmp,19.7,30.5,21.7,25.73779527559055,C
IMG_0306.bmp,19.8,30.1,22.4,25.558267716535433,C
IMG_0307.bmp,19.9,29.5,22.2,25.34251968503937,C
IMG_0308.bmp,19.8,30.5,22.6,25.908267716535434,C
IMG_0309.bmp,19.7,30.5,22.3,26.460629921259844,C
IMG_0310.bmp,20.2,31.4,21.4,22.581102362204724,C
IMG_0311.bmp,19.4,28.9,20.7,22.279921259842517,C
IMG_0312.bmp,19.5,29.0,20.6,22.155511811023622,C
IMG_0313.bmp,19.7,27.7,20.6,22.156692913385825,C
IMG_0314.bmp,19.5,29.0,21.2,22.716535433070867,C
IMG_0315.bmp,19.8,30.4,20.9,23.59763779527559,C
IMG_0316.bmp,19.5,30.4,20.9,23.448031496062992,C
IMG_0317.bmp,19.5,29.7,21.2,23.636220472440947,C
IMG_0318.bmp,19.7,30.1,21.2,24.285826771653543,C
IMG_0319.bmp,19.5,30.0,21.3,23.96456692913386,C
IMG_0320.bmp,19.5,30.5,21.4,24.22047244094488,C
IMG_0321.bmp,19.7,30.4,21.5,25.092125984251968,C
IMG_0322.bmp,19.9,30.1,21.6,24.35748031496063,C
IMG_0323.bmp,19.7,28.6,21.5,24.00984251968504,C
IMG_0324.bmp,19.5,29.7,21.4,24.278740157480314,C
IMG_0325.bmp,19.4,29.2,21.2,24.570078740157477,C
IMG_0326.bmp,19.7,30.5,21.2,25.39763779527559,C
IMG_0327.bmp,19.7,29.5,21.5,24.291338582677163,C
IMG_0328.bmp,19.7,29.8,21.7,24.909055118110235,C
IMG_0329.bmp,19.5,29.3,21.5,24.4,C
IMG_0330.bmp,19.5,30.3,21.6,25.665354330708663,C
IMG_0331.bmp,19.7,28.8,21.7,24.966535433070867,C
IMG_0332.bmp,19.9,29.0,21.7,22.62283464566929,C
IMG_0333.bmp,19.7,28.4,20.5,22.268897637795273,C
IMG_0334.bmp,19.7,28.2,20.6,22.14291338582677,C
IMG_0335.bmp,19.7,29.0,20.4,22.446062992125984,C
IMG_0336.bmp,19.5,28.7,20.5,22.325196850393702,C
IMG_0337.bmp,19.5,28.5,20.8,22.334645669291337,C
IMG_0338.bmp,19.5,28.4,20.9,22.47834645669291,C
IMG_0339.bmp,19.5,29.3,20.6,22.77952755905512,C
IMG_0340.bmp,19.5,28.5,20.5,22.299212598425196,C
IMG_0341.bmp,19.7,28.2,20.9,22.444094488188977,C
IMG_0342.bmp,19.7,28.9,20.9,22.778740157480314,C
IMG_0343.bmp,19.5,29.2,20.9,22.746062992125985,C
IMG_0344.bmp,19.7,28.9,20.9,22.778740157480314,C
IMG_0345.bmp,19.7,29.9,20.5,22.912598425196848,C
IMG_0346.bmp,19.8,29.0,20.7,23.168503937007873,C
IMG_0347.bmp,19.5,30.0,20.6,23.427165354330707,C
IMG_0348.bmp,19.7,30.1,20.7,23.30314960629921,C
IMG_0349.bmp,19.7,30.2,20.7,23.33779527559055,C
IMG_0350.bmp,19.7,30.0,20.7,23.430708661417324,C
IMG_0351.bmp,19.5,30.4,20.7,23.834251968503935,C
IMG_0352.bmp,19.5,30.8,20.4,23.548425196850395,C
IMG_0353.bmp,19.7,30.0,20.7,23.674015748031493,C
IMG_0354.bmp,19.9,30.4,22.0,23.083070866141732,C
IMG_0355.bmp,19.0,28.0,19.9,21.338582677165356,C
IMG_0356.bmp,19.7,28.1,20.2,21.58503937007874,C
IMG_0357.bmp,18.9,27.7,20.2,21.013385826771653,C
IMG_0358.bmp,19.2,28.5,20.5,21.68976377952756,C
IMG_0359.bmp,19.5,29.5,20.4,22.059055118110237,C
IMG_0360.bmp,19.2,27.8,20.5,21.908661417322833,C
IMG_0361.bmp,19.7,30.0,20.6,22.66023622047244,C
IMG_0362.bmp,19.5,28.5,20.9,22.58267716535433,C
IMG_0363.bmp,19.5,28.0,21.0,22.478346456692915,C
IMG_0364.bmp,19.4,27.6,21.0,22.208661417322833,C
IMG_0365.bmp,19.4,28.0,21.0,22.6503937007874,C
IMG_0366.bmp,19.4,28.6,21.1,22.949606299212597,C
IMG_0367.bmp,19.5,28.6,21.0,22.867716535433072,C
IMG_0368.bmp,19.5,29.2,21.2,23.051574803149606,C
IMG_0369.bmp,19.5,28.7,21.0,22.977165354330708,C
IMG_0370.bmp,19.5,28.8,21.4,23.1248031496063,C
IMG_0371.bmp,19.4,28.3,21.2,22.974015748031494,C
IMG_0372.bmp,19.5,29.7,21.4,23.636220472440947,C
IMG_0373.bmp,19.5,30.0,21.3,24.005905511811022,C
IMG_0374.bmp,19.5,29.7,21.5,24.03779527559055,C
IMG_0375.bmp,19.7,29.7,21.5,23.873228346456692,C
IMG_0376.bmp,20.4,28.3,22.1,23.57244094488189,C
IMG_0377.bmp,19.8,27.2,21.3,22.363779527559053,C
IMG_0378.bmp,19.7,27.9,21.2,22.896062992125984,C
IMG_0379.bmp,19.7,27.7,21.5,22.91259842519685,C
IMG_0380.bmp,19.8,28.2,21.7,23.636220472440947,C
IMG_0381.bmp,19.7,27.8,21.7,23.207874015748033,C
IMG_0382.bmp,19.9,30.5,21.9,24.53228346456693,C
IMG_0383.bmp,19.8,29.9,22.0,25.009055118110236,C
IMG_0384.bmp,19.7,29.4,22.1,24.893700787401574,C
IMG_0385.bmp,19.7,27.9,22.1,24.025984251968502,C
IMG_0386.bmp,19.5,28.2,22.2,24.29527559055118,C
IMG_0387.bmp,19.5,28.2,21.7,24.158267716535434,C
IMG_0388.bmp,19.5,28.0,22.0,24.151574803149607,C
IMG_0389.bmp,19.8,28.4,22.7,24.60787401574803,C
IMG_0390.bmp,19.7,28.3,22.4,24.54173228346457,C
IMG_0391.bmp,19.8,28.2,22.9,24.496062992125985,C
IMG_0392.bmp,19.8,28.5,23.2,24.49251968503937,C
IMG_0393.bmp,19.9,28.0,22.7,24.842913385826773,C
IMG_0394.bmp,19.9,28.2,23.5,24.60551181102362,C
IMG_0395.bmp,19.7,28.4,23.3,24.735039370078738,C
IMG_0396.bmp,19.9,29.2,23.4,25.025984251968502,C
IMG_0397.bmp,20.7,24.0,22.4,22.09015748031496,C
IMG_0398.bmp,20.6,23.0,22.3,21.639370078740157,C
IMG_0399.bmp,19.9,27.9,20.9,22.671653543307084,C
IMG_0400.bmp,19.9,27.7,20.9,22.63307086614173,C
IMG_0401.bmp,19.9,28.2,20.9,22.873622047244094,C
IMG_0402.bmp,19.8,28.7,20.9,23.128740157480316,C
