image,min_temp,max_temp,center_temp,point_temp,units
IMG_0329.bmp,25.4,26.6,26.2,25.905511811023622,C
IMG_0330.bmp,22.9,35.0,24.5,26.47283464566929,C
IMG_0331.bmp,22.7,32.0,25.8,26.654330708661416,C
IMG_0332.bmp,22.6,31.7,25.4,26.540944881889764,C
IMG_0333.bmp,22.3,32.1,25.0,26.312598425196853,C
IMG_0334.bmp,22.1,34.8,27.5,30.799999999999997,C
IMG_0335.bmp,22.0,34.8,28.2,31.675590551181102,C
IMG_0336.bmp,22.0,35.0,27.5,30.291338582677163,C
IMG_0337.bmp,21.7,34.8,29.1,31.18976377952756,C
IMG_0338.bmp,21.7,37.1,29.7,34.55354330708661,C
IMG_0339.bmp,21.7,31.6,29.3,28.131102362204725,C
IMG_0340.bmp,21.5,34.4,29.8,31.65748031496063,C
IMG_0341.bmp,21.4,34.3,30.7,32.31929133858267,C
IMG_0342.bmp,21.2,36.5,33.2,35.35551181102362,C
IMG_0343.bmp,21.2,36.3,32.7,35.88385826771653,C
IMG_0344.bmp,21.2,33.9,28.4,29.799999999999997,C
IMG_0345.bmp,21.2,36.4,30.7,33.76692913385827,C
IMG_0346.bmp,21.2,35.0,31.9,34.18503937007874,C
IMG_0347.bmp,21.0,34.8,30.9,33.60472440944882,C
IMG_0348.bmp,21.2,34.8,31.7,32.22992125984251,C
IMG_0349.bmp,21.1,36.6,31.1,35.13543307086614,C
IMG_0350.bmp,21.1,36.8,31.5,36.12007874015748,C
