image,min_temp,max_temp,center_temp,point_temp,units
IMG_0586.bmp,25.1,26.8,26.6,25.862992125984253,C
IMG_0587.bmp,22.9,38.6,25.7,27.59763779527559,C
IMG_0588.bmp,23.0,32.8,26.0,26.781102362204724,C
IMG_0589.bmp,22.4,32.7,26.5,27.50944881889764,C
IMG_0590.bmp,22.1,32.7,27.2,28.192913385826774,C
IMG_0591.bmp,22.8,32.9,28.5,29.321259842519684,C
IMG_0592.bmp,22.0,32.3,28.9,29.055905511811023,C
IMG_0593.bmp,22.0,33.5,29.2,30.194881889763778,C
IMG_0594.bmp,21.9,31.7,30.2,28.69055118110236,C
IMG_0595.bmp,22.2,32.8,29.6,29.795275590551178,C
IMG_0596.bmp,22.2,33.0,30.5,30.831496062992127,C
IMG_0597.bmp,21.6,32.9,30.4,30.05275590551181,C
IMG_0598.bmp,21.5,33.1,31.0,29.583464566929134,C
IMG_0599.bmp,21.2,33.2,30.8,31.87716535433071,C
IMG_0600.bmp,21.3,33.8,33.5,31.09330708661417,C
IMG_0601.bmp,21.4,34.0,31.4,32.95826771653543,C
IMG_0602.bmp,21.2,34.4,34.3,33.46456692913386,C
IMG_0603.bmp,21.5,34.7,32.3,33.608661417322836,C
IMG_0604.bmp,21.5,35.2,33.0,34.06732283464567,C
IMG_0605.bmp,21.5,35.6,32.5,33.99015748031496,C
IMG_0606.bmp,21.2,35.2,34.3,34.81417322834646,C
IMG_0607.bmp,20.8,35.6,33.0,34.9007874015748,C
