image,min_temp,max_temp,center_temp,point_temp,units
IMG_0544.bmp,22.3,24.7,23.3,23.263779527559056,C
IMG_0545.bmp,22.0,28.6,22.7,24.078740157480315,C
IMG_0546.bmp,22.0,27.9,23.0,24.55511811023622,C
IMG_0547.bmp,21.9,28.0,23.3,25.11811023622047,C
IMG_0548.bmp,21.9,29.9,24.2,26.561417322834643,C
IMG_0549.bmp,21.7,29.0,24.7,26.384645669291338,C
IMG_0550.bmp,21.5,30.2,24.4,26.466535433070867,C
IMG_0551.bmp,21.5,29.0,25.0,26.135826771653544,C
IMG_0552.bmp,21.5,28.2,25.1,25.588582677165356,C
IMG_0553.bmp,21.4,28.5,25.0,25.341338582677164,C
IMG_0554.bmp,21.3,29.6,25.9,27.443307086614176,C
IMG_0555.bmp,21.2,28.8,26.0,25.98740157480315,C
IMG_0556.bmp,21.2,28.9,25.5,25.929133858267715,C
IMG_0557.bmp,21.2,29.6,25.2,26.590551181102363,C
IMG_0558.bmp,21.2,30.1,25.5,27.366929133858267,C
IMG_0559.bmp,21.2,30.9,24.0,28.074015748031496,C
IMG_0560.bmp,21.0,31.0,26.4,28.83464566929134,C
IMG_0561.bmp,21.2,31.3,26.0,28.47677165354331,C
IMG_0562.bmp,21.2,31.6,25.9,28.815748031496064,C
IMG_0563.bmp,21.2,31.7,26.2,28.76496062992126,C
IMG_0564.bmp,21.0,24.2,23.0,22.461417322834645,C
IMG_0565.bmp,21.0,28.2,22.0,23.324409448818898,C
IMG_0566.bmp,21.2,27.4,22.1,23.714173228346457,C
IMG_0567.bmp,21.0,29.9,22.4,24.679133858267715,C
IMG_0568.bmp,21.2,27.5,22.7,23.903543307086615,C
IMG_0569.bmp,20.9,30.0,22.7,25.306692913385824,C
IMG_0570.bmp,20.9,26.8,22.7,23.94291338582677,C
IMG_0571.bmp,21.2,26.7,23.0,23.928346456692914,C
IMG_0572.bmp,21.1,29.5,23.0,25.498425196850395,C
IMG_0573.bmp,21.0,29.9,22.4,25.94055118110236,C
IMG_0574.bmp,20.8,30.0,23.0,26.993700787401576,C
IMG_0575.bmp,21.0,30.1,23.9,26.803937007874016,C
IMG_0576.bmp,20.9,29.5,23.3,25.50472440944882,C
IMG_0577.bmp,20.9,27.1,23.0,24.170866141732283,C
IMG_0578.bmp,20.9,29.0,23.5,25.747244094488188,C
IMG_0579.bmp,20.9,29.2,23.6,25.017322834645668,C
IMG_0580.bmp,21.0,29.2,23.4,25.16456692913386,C
IMG_0581.bmp,20.9,30.2,23.9,26.428740157480313,C
IMG_0582.bmp,21.1,28.2,24.2,25.209055118110236,C
IMG_0583.bmp,21.1,30.1,23.7,26.060629921259846,C
IMG_0584.bmp,21.0,29.3,24.0,25.705511811023623,C
IMG_0585.bmp,21.1,29.5,23.9,26.358267716535433,C
