Cycle no.,95A 1st,Wk1 - 50%,Wk2 - 50%,Wk3 - 50%,Wk1 - 35%,Wk2 - 35%,Wk3 - 35%,Wk4 - 35%,Wk1 - 20%,Wk2 - 20%,Wk3 - 20%,Wk4 - 20%,Unnamed: 13,95A 2nd,Wk1 - 50%.1,Wk2 - 50%.1,Wk3 - 50%.1,Wk4 - 50%,Wk1 - 35%.1,Wk2 - 35%.1,Wk3 - 35%.1,Wk4 - 35%.1,Wk1 - 20%.1,Wk2 - 20%.1,Wk3 - 20%.1,Wk4 - 20%.1,Unnamed: 27,90A 1st,Wk1 - 50%.2,Wk2 - 50%.2,Wk3 - 50%.2,Wk4 - 50%.1,Wk1 - 35%.2,Wk2 - 35%.2,Wk3 - 35%.2,Wk4 - 35%.2,Wk1 - 20%.2,Wk2 - 20%.2,Wk3 - 20%.2,Wk4 - 20%.2,Unnamed: 41,90A 2nd,Wk1 - 50%.3,Wk2 - 50%.3,Wk3 - 50%.3,Wk4 - 50%.2,Wk1 - 35%.3,Wk2 - 35%.3,Wk3 - 35%.3,Wk4 - 35%.3,Wk1 - 20%.3,Wk2 - 20%.3,Wk3 - 20%.3,Wk4 - 20%.3,Unnamed: 55,87A 1st,Wk1 - 50%.4,Wk2 - 50%.4,Wk3 - 50%.4,Wk4 - 50%.3,Wk1 - 35%.4,Wk2 - 35%.4,Wk3 - 35%.4,Wk4 - 35%.4,Wk1 - 20%.4,Wk2 - 20%.4,Wk3 - 20%.4,Wk4 - 20%.4,Unnamed: 69,87A 2nd,Wk1 - 50%.5,Wk2 - 50%.5,Wk3 - 50%.5,Wk4 - 50%.4,Wk1 - 35%.5,Wk2 - 35%.5,Wk3 - 35%.5,Wk4 - 35%.5,Wk1 - 20%.5,Wk2 - 20%.5,Wk3 - 20%.5,Wk4 - 20%.5
500,,,,,28.1511811,24.93188976,28.21968504,29.53228346,23.41850394,23.31023622,25.78267717,25.22047244,,,29.93858268,,,,28.47086614,28.03582677,,,26.96496063,26.57322835,,,,,25.63740157,23.33188976,23.58188976,,23.64015748,25.09212598,23.1519685,,23.26850394,22.74606299,21.67401575,,,,24.29527559,26.74645669,,,24.47322835,24.76574803,,,22.68858268,23.37598425,,,,,23.80629921,22.6503937,23.1976378,,22.86220472,,21.84488189,,22.6023622,,21.38346457,,,,25.00748031,23.97874016,24.37716535,,23.95433071,22.83700787,23.71653543,,23.02204724,22.01417323,23.6496063,
550,,,,,27.30590551,23.61023622,28.93070866,29.10905512,24.42755906,23.11023622,26.14212598,25.64251969,,,32.31102362,,,,26.64015748,29.83858268,,,26.23425197,27.47283465,,,,,25.88031496,24.26535433,23.50551181,,24.77795276,24.35748031,24.45748031,,23.51574803,22.77874016,21.81023622,,,,24.15826772,26.68188976,,,24.71614173,25.18700787,,,22.67952756,23.14173228,,,,,23.86259843,22.9496063,21.99448819,,23.14094488,,21.47322835,,22.94133858,,20.58425197,,,,25.26535433,23.91417323,24.4480315,,23.80472441,22.5011811,23.44094488,,22.64094488,22.34251969,23.39291339,
600,,,,,27.82952756,24.52440945,29.28976378,29.21023622,24.47834646,22.77480315,26.81496063,24.95669291,,,30.93464567,,,,26.61574803,29.12519685,,,26.93070866,26.76771654,,,,,25.86102362,24.69527559,24.6507874,,24.66062992,24.00984252,24.6480315,,23.55511811,22.91259843,21.92913386,,,,24.1515748,26.47992126,,,23.84251969,24.95905512,,,22.97874016,22.96141732,,,,,23.54448819,22.86771654,22.79212598,,23.29645669,,21.90551181,,22.69448819,,21.29488189,,,,25.3507874,23.83779528,24.30590551,,23.66062992,22.93228346,24.16299213,,23.79448819,22.24527559,23.47480315,
650,,,,,29.38425197,24.03937008,29.12125984,29.56574803,24.8003937,23.92440945,26.47362205,24.9519685,,,31.62283465,,,,26.90590551,28.88858268,,,25.10708661,27.74015748,,,,,26.51732283,24.53622047,25.90551181,,24.57598425,24.27874016,24.20393701,,23.51574803,23.16850394,21.59527559,,,,24.60787402,26.69370079,,,24.02913386,24.97125984,,,22.88740157,23.10787402,,,,,23.91968504,23.0515748,22.89173228,,23.27322835,,22.14251969,,22.44291339,,20.29370079,,,,25.48031496,24.1484252,23.96338583,,24.05826772,23.00708661,23.81771654,,22.91181102,22.41732283,23.1984252,
700,,,,,28.57244094,24.52165354,28.8015748,27.80314961,23.95590551,23.12519685,25.77795276,24.79409449,,,29.15826772,,,,27.42283465,28.61417323,,,26.00708661,27.31377953,,,,,25.7480315,25.64488189,27.00393701,,24.82125984,24.57007874,24.40275591,,23.38976378,23.42716535,20.87795276,,,,24.54173228,26.17401575,,,24.22283465,24.4,,,22.68740157,23.20787402,,,,,23.88897638,22.97716535,22.48818898,,23.14606299,,22.31968504,,22.91141732,,20.59488189,,,,25.24724409,23.83346457,24.46614173,,23.93464567,22.8003937,23.84645669,,23.17952756,22.58661417,23.27007874,
750,,,,,28.61496063,24.63385827,28.52992126,28.66496063,25.47716535,23.06614173,25.38622047,24.75984252,,,32.13070866,,,,28.4015748,28.88503937,,,26.81102362,28.39527559,,,,,26.57716535,25.81141732,26.24173228,,24.85354331,25.3976378,24.95433071,,23.35708661,23.30314961,22.06062992,,,,24.49606299,27.04330709,,,24.06692913,24.54330709,,,22.88740157,22.72480315,,,,,24.63188976,23.12480315,23.30393701,,23.27992126,,22.43700787,,22.51023622,,21.22795276,,,,25.39448819,23.33070866,24.84330709,,24.28622047,22.81220472,23.81417323,,22.94527559,22.50944882,23.46850394,
800,,,,,27.89015748,25.72992126,29.29448819,28.14133858,24.15590551,22.55275591,25.19566929,26.77440945,,,32.58346457,,,,28.2984252,29.0480315,,,27.29330709,27.18740157,,,,,26.52322835,25.73779528,25.04527559,,25.19212598,24.29133858,23.40787402,,23.51181102,23.33779528,22.62283465,,,,24.49251969,27.95472441,,,24.88425197,25.80629921,,,22.4976378,22.72755906,,,,,24.03858268,22.97401575,23.12834646,,23.67913386,,22.60511811,,22.60590551,,20.69724409,,,,25.6496063,24.21732283,24.12322835,,24.4484252,22.7976378,24.03385827,,23.66141732,22.6496063,23.49291339,
850,,,,,26.72440945,25.64094488,29.02598425,30.31141732,25.13228346,22.63149606,25.60551181,25.24488189,,,32.68149606,,,,27.42283465,29.20905512,,,26.19291339,26.64212598,,,,,27.74055118,25.55826772,25.5476378,,25.17401575,24.90905512,23.69606299,,23.04448819,23.43070866,22.97125984,,,,24.84291339,28.48622047,,,24.4,23.66732283,,,22.36377953,23.15826772,,,,,24.32755906,23.63622047,23.56771654,,23.48425197,,22.51338583,,22.64409449,,21.25590551,,,,25.74251969,24.04055118,24.34566929,,24.26692913,22.81220472,24.1515748,,23.16141732,22.51692913,23.33385827,
900,,,,,29.66929134,26.57795276,29.27204724,29.55590551,25.03779528,23.2496063,26.60314961,24.70629921,,,33.47637795,,,,26.12598425,28.41102362,,,27.08110236,27.7007874,,,,,27.86417323,25.34251969,24.58503937,,25.12125984,24.4,22.77165354,,23.43464567,23.83425197,23.02992126,,,,24.60551181,27.53543307,,,24.65,25.92598425,,,22.80511811,23.48267717,,,,,24.51889764,24.00590551,22.87086614,,23.44724409,,22.65433071,,22.57952756,,21.11023622,,,,25.76062992,24.48858268,24.47322835,,24.36299213,23.03228346,24.3511811,,23.59055118,22.50629921,23.57874016,
950,,,,,29.77401575,26.4511811,29.32755906,29.25433071,26.00866142,22.9976378,26.05984252,27.3519685,,,33.76141732,,,,28.88503937,28.51102362,,,26.72913386,27.29606299,,,,,27.88740157,25.90826772,24.46338583,,24.96062992,25.66535433,23.07480315,,23.61771654,23.5484252,21.9980315,,,,24.73503937,26.70314961,,,25.10866142,24.32913386,,,23.32716535,23.60472441,,,,,24.37244094,24.03779528,23.19724409,,23.99251969,,21.94685039,,22.51417323,,20.76850394,,,,25.43503937,24.16062992,24.29448819,,24.66062992,22.97834646,24.04527559,,23.68425197,22.29370079,23.67874016,
