image,min_temp,max_temp,center_temp,point_temp,units
IMG_0893.bmp,26.7,27.7,27.1,27.093700787401573,C
IMG_0894.bmp,24.2,32.5,27.2,27.271653543307085,C
IMG_0895.bmp,24.0,34.8,27.5,28.464566929133856,C
IMG_0896.bmp,23.9,33.9,28.4,29.136220472440943,C
IMG_0897.bmp,23.4,33.8,29.0,29.418897637795272,C
IMG_0898.bmp,23.3,33.9,29.4,30.227559055118107,C
IMG_0899.bmp,23.7,34.0,29.7,30.553149606299215,C
IMG_0900.bmp,23.1,34.0,30.4,30.86732283464567,C
IMG_0901.bmp,22.9,33.2,30.4,30.23976377952756,C
IMG_0902.bmp,22.8,34.0,30.5,31.662992125984253,C
IMG_0903.bmp,22.8,33.7,30.8,30.567322834645672,C
IMG_0904.bmp,22.7,34.0,30.2,29.239763779527557,C
IMG_0905.bmp,22.5,33.3,30.9,30.451181102362202,C
IMG_0906.bmp,22.7,33.6,31.7,30.724803149606302,C
IMG_0907.bmp,22.6,34.0,31.9,31.486614173228347,C
IMG_0908.bmp,22.7,34.3,31.7,31.925196850393696,C
IMG_0909.bmp,22.5,34.1,31.7,31.451181102362206,C
IMG_0910.bmp,22.4,34.3,25.1,25.679527559055117,C
IMG_0911.bmp,22.5,34.8,34.3,34.12204724409449,C
IMG_0912.bmp,22.5,35.3,33.0,33.88897637795275,C
IMG_0913.bmp,22.4,35.5,33.0,33.17913385826772,C
IMG_0914.bmp,22.5,35.8,34.5,35.48582677165354,C
