image,min_temp,max_temp,center_temp,point_temp,units
IMG_0802.bmp,22.4,34.9,23.5,25.106692913385825,C
IMG_0803.bmp,20.2,31.5,23.2,23.44763779527559,C
IMG_0804.bmp,21.3,30.7,24.2,24.926771653543305,C
IMG_0805.bmp,19.9,30.5,24.9,25.158267716535434,C
IMG_0806.bmp,20.7,31.0,25.5,26.417716535433073,C
IMG_0807.bmp,20.1,31.2,26.8,26.74251968503937,C
IMG_0808.bmp,20.5,31.8,26.5,28.28543307086614,C
IMG_0809.bmp,20.6,31.5,27.6,28.324409448818898,C
IMG_0810.bmp,20.1,31.2,27.5,28.709055118110236,C
IMG_0811.bmp,20.5,30.1,30.0,27.11417322834646,C
IMG_0812.bmp,20.5,30.5,28.7,28.531496062992126,C
IMG_0813.bmp,20.7,31.2,29.8,29.38110236220472,C
IMG_0814.bmp,20.5,31.7,30.4,29.89212598425197,C
IMG_0815.bmp,20.4,32.4,29.3,30.793700787401573,C
IMG_0816.bmp,19.9,32.5,30.7,30.168503937007873,C
IMG_0817.bmp,20.4,32.7,30.6,31.1988188976378,C
IMG_0818.bmp,20.5,33.5,30.4,32.681102362204726,C
IMG_0819.bmp,20.2,33.5,30.2,33.028740157480314,C
IMG_0820.bmp,20.4,34.2,30.6,33.49370078740158,C
IMG_0821.bmp,20.2,34.1,32.8,34.1,C
IMG_0822.bmp,20.4,34.9,32.5,33.644094488188976,C
IMG_0823.bmp,20.2,35.7,31.3,35.27283464566929,C
