image,min_temp,max_temp,center_temp,point_temp,units
IMG_0673.bmp,23.4,26.2,23.7,24.38110236220472,C
IMG_0674.bmp,21.9,29.6,22.7,23.931102362204722,C
IMG_0675.bmp,21.7,27.6,22.3,24.138976377952755,C
IMG_0676.bmp,21.3,28.3,22.1,24.57952755905512,C
IMG_0677.bmp,21.7,26.7,22.4,24.23937007874016,C
IMG_0678.bmp,21.4,31.5,22.3,26.489763779527557,C
IMG_0679.bmp,20.9,31.4,22.3,26.56338582677165,C
IMG_0680.bmp,21.1,30.7,22.4,26.277952755905513,C
IMG_0681.bmp,21.1,30.9,22.3,26.61732283464567,C
IMG_0682.bmp,20.9,30.5,22.2,26.45590551181102,C
IMG_0683.bmp,21.0,30.7,22.3,26.499212598425196,C
IMG_0684.bmp,21.4,30.7,22.3,26.96535433070866,C
IMG_0685.bmp,20.9,30.7,22.0,26.687401574803147,C
IMG_0686.bmp,21.4,31.0,22.3,27.825196850393702,C
IMG_0687.bmp,20.9,31.7,22.1,27.448031496062992,C
IMG_0688.bmp,21.2,31.1,22.3,26.890551181102364,C
IMG_0689.bmp,20.9,31.0,22.1,26.944094488188977,C
IMG_0690.bmp,20.9,31.4,22.2,27.266141732283465,C
IMG_0691.bmp,20.8,31.5,22.2,27.961417322834645,C
IMG_0692.bmp,20.8,31.6,22.2,28.240944881889764,C
IMG_0693.bmp,20.7,31.3,22.2,27.08503937007874,C
IMG_0694.bmp,21.9,24.3,23.3,22.92992125984252,C
IMG_0695.bmp,21.2,29.3,22.0,24.133858267716537,C
IMG_0696.bmp,20.6,28.9,22.0,23.965748031496062,C
IMG_0697.bmp,20.9,28.2,21.9,24.118897637795275,C
IMG_0698.bmp,21.0,27.9,22.0,24.178346456692914,C
IMG_0699.bmp,20.7,28.4,22.0,24.307480314960628,C
IMG_0700.bmp,20.9,27.5,21.9,24.251968503937007,C
IMG_0701.bmp,20.8,28.9,22.0,25.168897637795276,C
IMG_0702.bmp,20.8,28.5,21.7,24.92283464566929,C
IMG_0703.bmp,20.7,27.8,22.0,24.55748031496063,C
IMG_0704.bmp,20.7,27.9,22.0,24.64015748031496,C
IMG_0705.bmp,21.0,28.5,21.9,25.251968503937007,C
IMG_0706.bmp,21.1,29.6,22.0,25.75157480314961,C
IMG_0707.bmp,20.9,28.6,22.0,25.144094488188976,C
IMG_0708.bmp,21.2,28.4,21.9,25.2251968503937,C
IMG_0709.bmp,20.8,29.0,21.9,25.158267716535434,C
IMG_0710.bmp,20.8,28.8,21.7,24.988976377952756,C
IMG_0711.bmp,21.0,29.0,21.9,25.409448818897637,C
IMG_0712.bmp,20.9,29.3,21.9,25.49685039370079,C
IMG_0713.bmp,20.8,27.1,22.0,24.173228346456696,C
IMG_0714.bmp,21.0,27.7,21.9,24.71929133858268,C
IMG_0715.bmp,21.4,24.2,22.8,22.579527559055116,C
IMG_0716.bmp,20.9,29.7,21.9,23.706299212598424,C
IMG_0717.bmp,20.5,28.1,21.9,23.49212598425197,C
IMG_0718.bmp,20.9,28.5,21.9,24.041732283464565,C
IMG_0719.bmp,20.5,25.8,21.9,22.711811023622047,C
IMG_0720.bmp,20.7,28.4,21.7,23.82244094488189,C
IMG_0721.bmp,20.6,27.9,21.9,23.876377952755906,C
IMG_0722.bmp,20.5,27.7,21.7,23.84488188976378,C
IMG_0723.bmp,20.9,27.4,22.0,23.919685039370076,C
IMG_0724.bmp,20.8,27.9,21.9,24.238188976377952,C
