image,min_temp,max_temp,center_temp,point_temp,units
IMG_0608.bmp,23.3,26.1,24.1,24.446456692913387,C
IMG_0609.bmp,22.8,30.5,23.1,24.2248031496063,C
IMG_0610.bmp,22.7,30.5,23.0,24.266141732283465,C
IMG_0611.bmp,22.7,31.0,23.3,24.46456692913386,C
IMG_0612.bmp,22.7,31.2,23.1,24.674409448818896,C
IMG_0613.bmp,22.7,32.0,23.2,25.226377952755904,C
IMG_0614.bmp,22.5,31.8,23.2,25.209448818897638,C
IMG_0615.bmp,22.4,31.0,23.1,24.668503937007873,C
IMG_0616.bmp,21.9,31.7,23.2,24.639370078740157,C
IMG_0617.bmp,22.1,30.9,23.0,24.594488188976378,C
IMG_0618.bmp,22.2,31.7,23.1,25.079921259842518,C
IMG_0619.bmp,22.0,31.5,23.0,25.440944881889763,C
IMG_0620.bmp,21.9,30.9,23.2,25.691338582677165,C
IMG_0621.bmp,21.9,31.7,23.0,26.066929133858267,C
IMG_0622.bmp,21.9,31.4,22.9,26.238582677165354,C
IMG_0623.bmp,21.9,31.4,22.9,26.65,C
IMG_0624.bmp,21.7,30.7,22.9,25.951968503937007,C
IMG_0625.bmp,21.7,30.4,23.1,25.57047244094488,C
IMG_0626.bmp,21.7,31.5,23.1,26.175590551181102,C
IMG_0627.bmp,21.6,31.2,22.9,26.05984251968504,C
IMG_0628.bmp,21.9,30.7,23.1,26.57716535433071,C
IMG_0629.bmp,21.5,30.0,22.9,25.381889763779526,C
IMG_0630.bmp,21.6,24.9,23.0,22.951181102362206,C
IMG_0631.bmp,21.3,30.0,21.7,23.012598425196853,C
IMG_0632.bmp,21.5,30.4,21.9,23.181889763779527,C
IMG_0633.bmp,21.5,30.5,21.9,23.519685039370078,C
IMG_0634.bmp,21.4,30.9,22.0,23.382283464566928,C
IMG_0635.bmp,21.5,30.2,22.0,23.486614173228347,C
IMG_0636.bmp,21.5,31.7,22.0,23.949606299212597,C
IMG_0637.bmp,21.4,31.1,22.0,24.03503937007874,C
IMG_0638.bmp,21.4,31.0,22.1,24.121259842519684,C
IMG_0639.bmp,21.4,30.7,22.3,24.219291338582675,C
IMG_0640.bmp,21.7,30.6,22.2,24.187795275590553,C
IMG_0641.bmp,21.5,31.0,22.3,24.60433070866142,C
IMG_0642.bmp,21.4,31.0,22.4,24.38582677165354,C
IMG_0643.bmp,21.3,30.1,22.2,24.625984251968504,C
IMG_0644.bmp,21.4,31.0,22.3,24.6503937007874,C
IMG_0645.bmp,21.5,31.0,22.4,25.015748031496063,C
IMG_0646.bmp,21.4,30.6,22.5,24.551181102362204,C
IMG_0647.bmp,21.2,30.8,22.5,24.677165354330707,C
IMG_0648.bmp,21.3,31.4,22.4,25.355905511811024,C
IMG_0649.bmp,21.3,31.0,22.4,24.966141732283464,C
IMG_0650.bmp,21.5,31.7,22.3,25.19448818897638,C
IMG_0651.bmp,21.4,31.3,22.5,24.985826771653542,C
IMG_0652.bmp,21.5,24.4,23.3,22.744488188976376,C
IMG_0653.bmp,21.4,30.4,21.7,23.06535433070866,C
IMG_0654.bmp,21.5,30.5,21.9,23.271653543307085,C
IMG_0655.bmp,21.3,31.5,21.7,23.18740157480315,C
IMG_0656.bmp,21.2,31.7,21.9,23.308267716535433,C
IMG_0657.bmp,21.2,30.7,21.7,23.444094488188977,C
IMG_0658.bmp,21.1,31.0,21.6,23.048818897637798,C
IMG_0659.bmp,21.4,31.0,22.0,23.478740157480313,C
IMG_0660.bmp,21.3,31.2,21.9,23.404724409448818,C
IMG_0661.bmp,21.2,30.6,21.9,23.42047244094488,C
IMG_0662.bmp,21.3,30.8,21.9,23.431889763779527,C
IMG_0663.bmp,21.4,31.4,21.9,23.644094488188976,C
IMG_0664.bmp,21.2,30.9,21.9,23.52952755905512,C
IMG_0665.bmp,21.2,31.3,21.9,23.66535433070866,C
IMG_0666.bmp,21.2,30.6,21.9,23.790551181102362,C
IMG_0667.bmp,21.2,30.5,21.9,23.323622047244093,C
IMG_0668.bmp,21.3,31.4,21.9,24.24251968503937,C
IMG_0669.bmp,21.2,31.4,21.7,23.529133858267716,C
IMG_0670.bmp,21.2,30.4,21.9,23.699212598425195,C
IMG_0671.bmp,21.2,31.0,22.0,24.016535433070864,C
