image,min_temp,max_temp,center_temp,point_temp,units
IMG_0048.bmp,20.9,24.4,21.7,22.41574803149606,C
IMG_0049.bmp,21.1,30.9,22.4,23.33779527559055,C
IMG_0050.bmp,21.1,29.7,22.4,23.40236220472441,C
IMG_0051.bmp,20.2,29.0,21.7,23.179527559055117,C
IMG_0052.bmp,20.4,29.0,21.9,23.6503937007874,C
IMG_0053.bmp,20.2,29.3,21.5,23.99763779527559,C
IMG_0054.bmp,20.2,29.9,21.4,24.66811023622047,C
IMG_0055.bmp,20.2,30.0,21.3,24.907086614173227,C
IMG_0056.bmp,20.2,29.6,21.5,25.233070866141734,C
IMG_0057.bmp,19.9,30.0,21.5,25.38740157480315,C
IMG_0058.bmp,20.2,30.4,21.2,26.906299212598427,C
IMG_0059.bmp,19.9,30.1,21.4,25.522047244094487,C
IMG_0060.bmp,20.1,29.8,21.2,25.63740157480315,C
IMG_0061.bmp,20.4,30.0,21.5,25.88031496062992,C
IMG_0062.bmp,19.5,30.2,21.5,25.861023622047245,C
IMG_0063.bmp,20.1,30.1,21.7,26.517322834645668,C
IMG_0064.bmp,20.0,30.0,21.5,25.748031496062993,C
IMG_0065.bmp,19.9,30.5,21.5,26.57716535433071,C
IMG_0066.bmp,20.4,30.7,21.7,26.52322834645669,C
IMG_0067.bmp,20.2,30.9,21.7,27.74055118110236,C
IMG_0068.bmp,20.2,30.5,21.4,27.864173228346456,C
IMG_0069.bmp,20.0,30.6,21.5,27.88740157480315,C
IMG_0070.bmp,19.9,30.2,21.0,26.38818897637795,C
