image,min_temp,max_temp,center_temp,point_temp,units
IMG_0001.bmp,20.5,25.8,22.1,22.565748031496064,C
IMG_0002.bmp,20.6,32.8,30.9,30.206299212598424,C
IMG_0003.bmp,20.4,31.4,22.2,22.002362204724406,C
IMG_0004.bmp,19.2,25.5,21.2,21.531496062992126,C
IMG_0005.bmp,19.4,25.2,21.5,21.79763779527559,C
IMG_0006.bmp,19.4,26.7,21.9,22.676377952755903,C
IMG_0007.bmp,19.4,26.5,22.0,22.782283464566927,C
IMG_0008.bmp,19.2,26.4,22.1,22.828346456692913,C
IMG_0009.bmp,19.4,26.0,22.6,22.725984251968505,C
IMG_0010.bmp,19.4,26.4,22.6,22.98267716535433,C
IMG_0011.bmp,19.4,26.7,22.9,23.308661417322835,C
IMG_0012.bmp,19.2,27.2,22.6,24.14488188976378,C
IMG_0013.bmp,19.4,26.5,23.5,23.005905511811022,C
IMG_0014.bmp,19.2,26.4,22.7,22.88503937007874,C
IMG_0015.bmp,19.0,26.2,21.9,23.365354330708662,C
IMG_0016.bmp,18.9,26.3,22.7,23.066141732283462,C
IMG_0017.bmp,19.2,26.7,23.6,23.658661417322833,C
IMG_0018.bmp,19.1,26.2,22.8,23.23700787401575,C
IMG_0019.bmp,19.1,26.0,22.6,23.229133858267716,C
IMG_0020.bmp,19.0,25.4,22.7,22.250393700787402,C
IMG_0021.bmp,19.1,25.6,22.8,22.42677165354331,C
IMG_0022.bmp,19.2,26.6,23.6,23.803149606299215,C
IMG_0023.bmp,19.1,26.6,22.9,23.55866141732284,C
IMG_0024.bmp,19.1,27.8,23.5,25.16259842519685,C
IMG_0025.bmp,19.9,24.1,21.5,21.751968503937007,C
IMG_0026.bmp,19.4,34.0,20.7,29.171653543307087,C
IMG_0027.bmp,18.8,29.9,19.7,21.378346456692913,C
IMG_0028.bmp,18.9,28.4,20.9,22.041732283464565,C
IMG_0029.bmp,18.7,25.3,21.9,21.3503937007874,C
IMG_0030.bmp,18.8,25.5,22.1,22.176377952755907,C
IMG_0031.bmp,18.8,26.9,23.1,22.913779527559054,C
IMG_0032.bmp,18.9,27.1,23.0,23.581102362204724,C
IMG_0033.bmp,18.8,26.5,23.7,23.680708661417324,C
IMG_0034.bmp,18.7,27.7,24.0,24.298425196850392,C
IMG_0035.bmp,18.8,27.5,25.1,24.314566929133857,C
IMG_0036.bmp,18.9,26.9,24.9,23.687401574803147,C
IMG_0037.bmp,18.8,27.7,25.0,24.931889763779527,C
IMG_0038.bmp,18.8,27.0,24.2,23.61023622047244,C
IMG_0039.bmp,18.6,28.5,23.5,24.5244094488189,C
IMG_0040.bmp,18.6,27.4,23.6,24.039370078740156,C
IMG_0041.bmp,18.7,28.0,24.1,24.521653543307085,C
IMG_0042.bmp,18.7,28.3,25.1,24.633858267716537,C
IMG_0043.bmp,18.7,28.0,24.2,25.72992125984252,C
IMG_0044.bmp,18.8,28.4,25.7,25.640944881889762,C
IMG_0045.bmp,18.9,28.7,25.0,26.57795275590551,C
IMG_0046.bmp,18.5,28.7,25.0,26.451181102362202,C
IMG_0047.bmp,18.7,29.0,26.0,26.81023622047244,C
