image,min_temp,max_temp,center_temp,point_temp,units
IMG_0824.bmp,19.9,24.0,21.1,21.707874015748033,C
IMG_0825.bmp,19.5,22.5,20.1,20.799212598425196,C
IMG_0826.bmp,19.8,26.7,20.2,23.331496062992127,C
IMG_0827.bmp,19.9,27.4,20.4,23.797637795275588,C
IMG_0828.bmp,20.0,22.9,20.5,21.587007874015747,C
IMG_0829.bmp,19.9,27.5,20.8,24.059055118110237,C
IMG_0830.bmp,19.8,26.4,20.5,23.61968503937008,C
IMG_0831.bmp,19.9,27.4,20.8,24.151968503937006,C
IMG_0832.bmp,19.8,26.1,20.5,23.64448818897638,C
IMG_0833.bmp,19.9,26.7,20.6,24.424409448818896,C
IMG_0834.bmp,19.9,27.2,20.6,24.49842519685039,C
IMG_0835.bmp,19.9,29.1,20.7,26.41968503937008,C
IMG_0836.bmp,19.9,28.2,21.0,25.226377952755904,C
IMG_0837.bmp,19.9,28.5,20.8,25.75748031496063,C
IMG_0838.bmp,19.9,29.0,20.7,26.098031496062994,C
IMG_0839.bmp,19.8,29.5,20.8,26.788582677165355,C
IMG_0840.bmp,19.7,29.5,20.6,26.49055118110236,C
IMG_0841.bmp,19.7,29.6,20.8,27.378346456692913,C
IMG_0842.bmp,19.7,30.0,20.8,26.999212598425196,C
IMG_0843.bmp,19.9,30.3,20.7,27.597637795275592,C
IMG_0844.bmp,19.9,30.5,20.9,28.32992125984252,C
IMG_0845.bmp,19.7,30.5,20.6,28.246456692913384,C
IMG_0846.bmp,19.9,22.4,22.0,21.061417322834643,C
IMG_0847.bmp,19.7,24.9,20.4,21.870078740157478,C
IMG_0848.bmp,19.8,29.4,20.4,24.33543307086614,C
IMG_0849.bmp,19.9,26.6,20.5,23.14448818897638,C
IMG_0850.bmp,19.8,24.5,20.5,22.27952755905512,C
IMG_0851.bmp,19.7,22.0,20.5,20.80472440944882,C
IMG_0852.bmp,19.9,28.4,20.6,24.651968503937006,C
IMG_0853.bmp,19.9,27.2,20.7,24.03858267716535,C
IMG_0854.bmp,19.7,28.4,20.6,24.735039370078738,C
IMG_0855.bmp,19.8,27.6,20.8,24.7748031496063,C
IMG_0856.bmp,19.8,27.8,20.5,24.68188976377953,C
IMG_0857.bmp,19.8,28.5,20.7,25.383070866141733,C
IMG_0858.bmp,19.9,26.5,20.7,24.057480314960628,C
IMG_0859.bmp,19.9,29.2,20.7,25.025984251968502,C
IMG_0860.bmp,19.8,28.2,21.2,24.26456692913386,C
IMG_0861.bmp,19.7,26.2,20.5,23.25708661417323,C
IMG_0862.bmp,19.7,25.5,20.7,22.896850393700788,C
IMG_0863.bmp,19.7,25.2,20.6,22.623228346456692,C
IMG_0864.bmp,19.8,29.4,20.8,24.90236220472441,C
IMG_0865.bmp,19.9,26.9,20.6,23.59291338582677,C
IMG_0866.bmp,19.9,25.4,20.5,22.844881889763776,C
IMG_0867.bmp,19.9,26.2,20.7,23.719685039370077,C
