image,min_temp,max_temp,center_temp,point_temp,units
IMG_0180.bmp,22.0,26.4,23.5,23.73228346456693,C
IMG_0181.bmp,21.4,29.2,22.4,24.01023622047244,C
IMG_0182.bmp,21.0,30.0,21.7,25.32283464566929,C
IMG_0183.bmp,20.9,30.9,21.9,26.76614173228346,C
IMG_0184.bmp,20.5,30.4,21.6,26.658267716535434,C
IMG_0185.bmp,20.5,31.4,21.7,27.709448818897638,C
IMG_0186.bmp,20.4,30.9,21.7,27.59291338582677,C
IMG_0187.bmp,20.4,31.5,21.7,28.13503937007874,C
IMG_0188.bmp,20.4,31.4,21.4,28.45511811023622,C
IMG_0189.bmp,20.2,31.3,21.5,28.809055118110237,C
IMG_0190.bmp,20.2,30.9,21.5,28.6251968503937,C
IMG_0191.bmp,20.2,30.7,21.6,28.219685039370077,C
IMG_0192.bmp,20.2,31.4,21.5,28.93070866141732,C
IMG_0193.bmp,20.2,31.3,21.5,29.28976377952756,C
IMG_0194.bmp,20.2,31.2,21.6,29.121259842519684,C
IMG_0195.bmp,20.4,31.4,21.5,28.801574803149606,C
IMG_0196.bmp,20.1,30.7,21.5,28.529921259842517,C
IMG_0197.bmp,20.2,31.2,22.2,29.294488188976377,C
IMG_0198.bmp,20.1,31.0,21.5,29.025984251968502,C
IMG_0199.bmp,19.9,31.4,21.4,29.272047244094487,C
IMG_0200.bmp,20.2,31.4,21.9,29.32755905511811,C
IMG_0201.bmp,20.2,31.9,21.7,29.873228346456692,C
IMG_0202.bmp,21.4,24.1,22.7,22.548031496062993,C
IMG_0203.bmp,20.1,29.6,21.5,23.428740157480316,C
IMG_0204.bmp,19.9,29.0,21.2,24.163385826771652,C
IMG_0205.bmp,19.9,29.8,21.5,24.85,C
IMG_0206.bmp,19.8,28.8,21.2,24.3,C
IMG_0207.bmp,20.1,29.0,21.2,24.690157480314962,C
IMG_0208.bmp,19.9,28.9,21.4,24.683464566929132,C
IMG_0209.bmp,20.1,28.9,21.3,24.74251968503937,C
IMG_0210.bmp,19.9,29.6,21.2,25.933858267716538,C
IMG_0211.bmp,19.9,29.4,21.3,25.39803149606299,C
IMG_0212.bmp,19.9,30.4,21.2,26.55551181102362,C
IMG_0213.bmp,20.0,30.2,21.2,25.78267716535433,C
IMG_0214.bmp,19.9,30.4,21.4,26.14212598425197,C
IMG_0215.bmp,20.1,30.5,21.7,26.81496062992126,C
IMG_0216.bmp,19.7,30.8,21.2,26.473622047244096,C
IMG_0217.bmp,19.8,30.2,21.0,25.77795275590551,C
IMG_0218.bmp,19.7,29.8,21.0,25.386220472440947,C
IMG_0219.bmp,19.7,29.6,21.2,25.195669291338582,C
IMG_0220.bmp,19.8,29.9,21.2,25.60551181102362,C
IMG_0221.bmp,19.8,29.4,21.7,26.603149606299212,C
IMG_0222.bmp,19.8,29.8,21.3,26.05984251968504,C
IMG_0223.bmp,19.5,30.4,21.2,26.966929133858265,C
